trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
108,0,108,0,158.03253320000022,159.03276370000003,159.03276370000003,down,0,0.20176319999973202,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
109,0,109,0,159.26646740000024,160.26658050000015,160.26658050000015,down,0,0.16743219999989378,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
110,0,110,0,160.46670300000005,161.46702649999997,161.46702649999997,down,0,0.19658509999953822,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
111,0,111,0,161.6837728999999,162.6841374999999,162.6841374999999,down,0,0.14904029999979684,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
112,0,112,0,162.8509257999999,163.85127450000027,163.85127450000027,down,1,0.15122269999937998,None,1,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
113,0,113,0,164.03466220000018,165.03511720000006,165.03511720000006,down,1,0.13020549999964715,None,1,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
114,0,114,0,165.18523300000015,166.18576900000016,166.18576900000016,down,1,0.12060829999973066,None,-4,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
115,0,115,0,166.3357163999999,167.3360118999999,167.3360118999999,down,1,0.11489309999979014,None,-2,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
116,0,116,0,167.4695102999999,168.46988349999992,168.46988349999992,down,1,0.03753719999940586,None,-5,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
117,0,117,0,168.53666520000024,169.53672640000013,169.53672640000013,down,1,0.0714468999995006,None,-2,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
118,0,118,0,169.63679000000002,170.63717889999998,170.63717889999998,down,0,0.08146419999957288,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
119,0,119,0,170.7373361,171.73762260000012,171.73762260000012,down,1,0.1614926999995987,None,-3,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
120,0,120,0,171.92102479999994,172.92198210000015,172.92198210000015,down,0,0.12306339999986449,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
121,0,121,0,173.07140909999998,174.07184580000012,174.07184580000012,down,1,0.10630009999977119,None,-2,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
122,0,122,0,174.2052166000003,175.2061137999999,175.2061137999999,down,1,0.0766128000000208,None,1,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
123,0,123,0,175.3056492999999,176.3061158999999,176.3061158999999,up,1,0.555528499999582,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
124,0,124,0,176.88952130000007,177.8899653000003,177.8899653000003,down,0,0.43090709999933097,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
125,0,125,0,178.34019690000014,179.3405041000001,179.3405041000001,down,1,0.05535849999978382,None,2,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
126,0,126,0,179.4238534000001,180.42421319999994,180.42421319999994,down,1,0.09946369999988747,None,-4,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
127,0,127,0,180.54100960000005,181.54124469999988,181.54124469999988,down,1,0.05953139999974155,None,1,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
128,0,128,0,181.6246716999999,182.62503289999995,182.62503289999995,down,1,0.10174339999957738,None,-5,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
129,0,129,0,182.75846469999988,183.75880760000018,183.75880760000018,down,0,0.07905989999972007,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
130,0,130,0,183.8588138,184.85927429999992,184.85927429999992,down,1,0.055713599999762664,None,0,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
131,0,131,0,184.9425814000001,185.94294519999994,185.94294519999994,down,1,0.21775559999969119,None,3,524505,001,2023-09-14_16h20.31.484,Tutorial 2,2023.1.3,59.978072016931435,
